pressure,8.26ang,8.26Er
.41,0.0004825808,0.0002185844 
2.07,0.0038517959,0.0024198601 
4.15,0.0057503303,0.0019529295 
20.78,0.0455943509,0.0709500794 
41.57,0.0704168368,0.0260997910 
83.14,58.2311056326,0.7810797343 
166.28,58.6357128207,0.8004618228 
249.42,59.0011523878,0.0019685598 
332.56,59.0004335603,0.0013463335 
415.70,59.0062687437,0.0217849442 
831.40,58.7212303854,0.7583624679 
1662.80,59.0064631288,0.0048189544 
2494.20,59.0168963902,0.0077091845 
3325.60,59.1469012934,0.1193917837 
4157.00,59.1524100271,0.2788550632 
