pressure,8.26ang,8.26Er
.41,0.0000837074,0.0000746013 
2.07,0.0004195557,0.0001720278 
4.15,0.0008082182,0.0002506289 
20.78,0.0044378788,0.0009839831 
41.57,0.0095760150,0.0042416537 
83.14,0.0181831636,0.0035295342 
166.28,0.0543908130,0.0461722908 
249.42,48.2915719806,2.6983900536 
332.56,51.2623000526,1.1623368466 
415.70,51.9920714287,3.1608211655 
831.40,53.9370990371,0.1751658881 
1662.80,53.9910823265,0.0258478507 
2494.20,53.9849115529,0.0816610223 
3325.60,54.0001709050,0.0013357182 
4157.00,54.0569178918,0.3805194451 
