pressure,8.26ang,8.26Er
.41,0.0000989670,0.0001142590 
2.07,0.0006023294,0.0002408451 
4.15,0.0008595726,0.0003614895 
20.78,0.0048502712,0.0006955309 
41.57,0.0100876113,0.0023837258 
83.14,0.0221358643,0.0051371991 
166.28,0.0505580747,0.0188813943 
249.42,48.3700414514,2.9502677403 
332.56,47.3407363181,0.9097961406 
415.70,50.0945177086,4.2798923580 
831.40,53.4597904507,0.8572447096 
1662.80,54.0025606704,0.0421628452 
2494.20,52.8642843861,0.8335181626 
3325.60,54.7524940466,0.9779830609 
4157.00,54.2368882788,0.9208901438 
