pressure,8.26ang,8.26Er
.41,0.0000707925,0.0000472239 
2.07,0.0004183514,0.0001930451 
4.15,0.0009994723,0.0004663593 
20.78,0.0043411356,0.0005834691 
41.57,0.0097189633,0.0019169853 
83.14,0.0211161269,0.0089862349 
166.28,0.0414943222,0.0066946178 
249.42,53.5722798814,0.9842732067 
332.56,54.0000471262,0.0000090473 
415.70,51.1235262489,4.4183094687 
831.40,52.5384319712,1.9740609232 
1662.80,54.0991757637,0.2629027078 
2494.20,53.9722889159,0.0514299920 
3325.60,53.9997070282,0.0042828436 
4157.00,53.9779734380,0.2334389127 
