pressure,8.26ang,8.26Er
.41,0.0000626877,0.0000743347 
2.07,0.0004391396,0.0001438180 
4.15,0.0010215647,0.0004802421 
20.78,0.0046377802,0.0016228108 
41.57,0.0099495488,0.0015672465 
83.14,0.0194536064,0.0039789295 
166.28,0.0445657392,0.0145656489 
249.42,54.0000377533,0.0000000000 
332.56,50.5659457511,0.9794718254 
415.70,53.4666930199,0.9043315207 
831.40,53.9664486516,0.0829400989 
1662.80,53.9915989366,0.0295740090 
2494.20,53.9877175743,0.0513097656 
3325.60,53.9979901545,0.0096513687 
4157.00,54.0095723413,0.0487836038 
