pressure,8.26ang,8.26Er
.41,0.0001782740,0.0001070935 
2.07,0.0008668392,0.0004325653 
4.15,0.0015716184,0.0006398205 
20.78,0.0077263291,0.0024612861 
41.57,0.0172322724,0.0036169998 
83.14,0.0527115292,0.0283684208 
166.28,40.9591042973,1.0016866852 
249.42,42.8416366227,0.6153757875 
332.56,42.9793929289,0.0445290658 
415.70,41.9277621144,1.7148483008 
831.40,42.6376399260,0.9228178238 
1662.80,42.9988643299,0.0048087045 
2494.20,43.0918202062,0.3724749220 
3325.60,42.6529157283,1.1707227220 
4157.00,42.9923253323,0.0290245190 
