pressure,8.26ang,8.26Er
.41,0.0001415225,0.0001198026 
2.07,0.0007206932,0.0002728017 
4.15,0.0014763324,0.0004417975 
20.78,0.0076779574,0.0005632868 
41.57,0.0161297365,0.0039534646 
83.14,0.0383282246,0.0154130632 
166.28,40.1380747124,1.0752140682 
249.42,39.9905729195,1.4788677107 
332.56,38.9278369302,2.5233602170 
415.70,42.8578408330,0.4285362976 
831.40,42.9901844108,0.0397498874 
1662.80,43.0672533694,1.0498870328 
2494.20,42.898,1.3777 
3325.60,42.9994238918,0.0042855415 
4157.00,43.0106241551,0.0359546471 
