pressure,8.26ang,8.26Er
.41,0.0001556981,0.0001174827 
2.07,0.0007409371,0.0001199618 
4.15,0.0013548279,0.0005906976 
20.78,0.0074772178,0.0015237528 
41.57,0.0308637549,0.0360195258 
83.14,0.0429621403,0.0166369376 
166.28,38.1587391545,1.6829151679 
249.42,39.9705645007,0.7973537127 
332.56,42.9498001308,0.0808676685 
415.70,42.8222253124,0.6374052604 
831.40,42.7439532552,0.7505401434 
1662.80,42.5170629119,0.9660891709 
2494.20,43.0015291669,0.0046486076 
3325.60,42.9567270394,0.1648585126 
4157.00,42.9862591091,0.0557499593 
