pressure,8.26ang,8.26Er
.41,0.0002096525,0.0000967937 
2.07,0.0011922948,0.0004423367 
4.15,0.0023865144,0.0008513012 
20.78,0.0132789795,0.0044195820 
41.57,0.0586735691,0.1102660818 
83.14,0.0989758745,0.1106888862 
166.28,39.7895039719,1.2370172890 
249.42,39.7364003547,0.9084148223 
332.56,40.0565370633,0.2255690512 
415.70,42.1265386012,1.1589990665 
831.40,43.8615182834,0.4403233848 
1662.80,42.4439881448,0.7598601157 
2494.20,45.8858040336,1.0037014597 
3325.60,45.0503096622,1.7477240435 
4157.00,43.7438161868,1.3852452543 
