pressure,8.26ang,8.26Er
.41,0.0001535834,0.0001122946 
2.07,0.0008760393,0.0003433841 
4.15,0.0018927176,0.0013246743 
20.78,0.0078798007,0.0021930041 
41.57,0.0204277836,0.0094027701 
83.14,0.0776355665,0.1710841561 
166.28,40.6344364309,3.3901960295 
249.42,40.2463859402,0.6277629308 
332.56,42.4792727961,1.2348533057 
415.70,42.0843523659,1.1484771095 
831.40,42.6291536179,0.8083203600 
1662.80,42.9992297981,0.0040742658 
2494.20,43.4206149424,0.9522722281 
3325.60,42.9954624957,0.0222067154 
4157.00,42.9830166745,0.0598179163 
