pressure,8.26ang,8.26Er
.41,0.0004355570,0.0001976438 
2.07,0.0020774803,0.0006412192 
4.15,0.0038945010,0.0017891190 
20.78,44.1200194457,18.0695037481 
41.57,50.8616034070,1.5775596097 
83.14,53.5252169283,1.4679121797 
166.28,54.0067258627,0.0267846640 
249.42,53.8977154259,0.2888184901 
332.56,53.9943437191,0.0472021434 
415.70,53.9455737784,0.2180040727 
831.40,54.6346809756,0.8888122875 
1662.80,55.5330412614,0.8787903661 
2494.20,54.6165414624,0.8885261821 
3325.60,58.9681218575,0.1397992857 
4157.00,56.4896336043,1.1707030137 
