pressure,8.26ang,8.26Er
.41,4.0675991885,3.9009462494 
2.07,59.0001934359,0.0006726413 
4.15,59.0000656626,0.0002572871 
20.78,59.0008570882,0.0012327759 
41.57,59.0013090370,0.0018862800 
83.14,59.0525486928,0.0648368312 
166.28,59.3970816576,0.4776347332 
249.42,59.0363728128,0.0709781842 
332.56,60.2763051823,0.4339848625 
415.70,59.0309104349,0.0234504746 
831.40,59.0691784779,0.0528286638 
1662.80,61.4104419574,1.2599471162 
2494.20,64.1787182874,1.1153735194 
3325.60,65.8592494521,2.5340738183 
4157.00,66.4790684753,1.5022485844 
