pressure,8.26ang,8.26Er
.41,0.0003510173,0.0002709460 
2.07,0.0016417001,0.0010116842 
4.15,0.0034659827,0.0013651534 
20.78,0.0181887454,0.0055455535 
41.57,54.0000074819,0.0000023360 
83.14,54.0000149435,0.0000019073 
166.28,54.0626234573,0.2283638157 
249.42,53.9999655152,0.0003191747 
332.56,54.0000596755,0.0000013487 
415.70,54.0000750354,0.0000013487 
831.40,54.0101009373,0.0398061763 
1662.80,54.0002924047,0.0000077477 
2494.20,54.0004404030,0.0000057220 
3325.60,54.0069214919,0.0253792028 
4157.00,54.1715869645,0.2758031724 
