pressure,8.26ang,8.26Er
.41,0.0003187234,0.0003805462 
2.07,0.0021759143,0.0011701201 
4.15,0.0027338045,0.0004846734 
20.78,0.0165657663,0.0062201071 
41.57,54.0000080595,0.0000050464 
83.14,53.9481452451,0.1180958304 
166.28,53.8649866348,0.5231221619 
249.42,53.9420550524,0.2319580620 
332.56,53.9875420814,0.0465257693 
415.70,53.9939457622,0.0245159538 
831.40,54.0001474033,0.0000050464 
1662.80,54.0002989505,0.0000145259 
2494.20,54.1532459809,0.6112036547 
3325.60,54.0005943899,0.0000258021 
4157.00,54.0545617414,0.1740691685 
