pressure,8.26ang,8.26Er
.41,0.0001341823,0.0001396242 
2.07,0.0008604201,0.0001799682 
4.15,0.0016816296,0.0007227536 
20.78,0.0093155171,0.0048290722 
41.57,0.0201840282,0.0130381896 
83.14,0.0503667017,0.0450423188 
166.28,0.3447114062,0.7633737088 
249.42,40.3026414284,0.9788605130 
332.56,41.9301646621,1.1455018159 
415.70,42.6383476235,0.8131263220 
831.40,42.8253615400,0.3069734152 
1662.80,42.9985754235,0.0154566878 
2494.20,42.9969200165,0.0084297757 
3325.60,42.8714495212,0.4060290974 
4157.00,43.0005026289,0.0004217398 
