pressure,8.26ang,8.26Er
.41,0.0008146291,0.0003712823 
2.07,0.0050801714,0.0022075184 
4.15,0.0149007327,0.0108509013 
20.78,0.3082126392,0.8255983200 
41.57,48.1601556322,0.6062520679 
83.14,48.5933224656,0.9856478481 
166.28,48.9912836748,0.0349411148 
249.42,47.6226102208,0.5510244356 
332.56,48.9487799554,0.0736375482 
415.70,48.6268938092,0.9965827571 
831.40,49.0000941908,0.0000019073 
1662.80,49.0001834026,0.0000044731 
2494.20,48.9415961850,0.2347380480 
3325.60,49.0003666233,0.0000218306 
4157.00,48.8651181705,0.9882999085 
