pressure,8.26ang,8.26Er
.41,0.0000599860,0.0000467492 
2.07,0.0003417657,0.0001172773 
4.15,0.0009819383,0.0003091627 
20.78,0.0047507000,0.0010240540 
41.57,0.0117379529,0.0088880386 
83.14,0.0207600833,0.0075718751 
166.28,0.0466020412,0.0193598956 
249.42,50.4506214635,0.4238102270 
332.56,50.1623040978,0.9934576378 
415.70,51.6527296525,2.9655915554 
831.40,53.8263565570,0.5298252169 
1662.80,53.8054756670,0.4484844908 
2494.20,53.7214847713,0.8134046205 
3325.60,53.6549706093,0.9357696652 
4157.00,54.0008015921,0.0007001632 
