pressure,8.26ang,8.26Er
.41,0.0001158821,0.0000608316 
2.07,0.0007910348,0.0005483211 
4.15,0.0015992237,0.0008701163 
20.78,0.0068193624,0.0011499587 
41.57,0.0137297789,0.0029314017 
83.14,0.0253210508,0.0048704219 
166.28,0.0684871150,0.0438836272 
249.42,50.2285446615,1.1521993948 
332.56,50.2518386212,1.6318164148 
415.70,49.7303573556,0.8435647058 
831.40,55.3198185070,1.0800616921 
1662.80,56.2293878834,1.9610664116 
2494.20,58.5631126126,1.0774255200 
3325.60,59.0031805984,0.0044019472 
4157.00,59.0038541718,0.0028024884 
