pressure,8.26ang,8.26Er
.41,0.0000865430,0.0000570977 
2.07,0.0005518501,0.0003470487 
4.15,0.0007643046,0.0002242713 
20.78,0.0043067823,0.0007503591 
41.57,0.0105921761,0.0048084959 
83.14,0.0173903439,0.0020530511 
166.28,0.0456802155,0.0202245210 
249.42,0.0838631391,0.0697187486 
332.56,53.8176186883,0.7297228783 
415.70,50.7122431814,1.1702015948 
831.40,53.8094218952,0.6707222158 
1662.80,53.6004755375,0.5410743048 
2494.20,53.9930755264,0.0233077119 
3325.60,54.0089082380,0.0813920331 
4157.00,54.1711720188,0.4967477343 
