pressure,8.26ang,8.26Er
.41,0.0000963613,0.0000719867 
2.07,0.0005136522,0.0002281637 
4.15,0.0008828834,0.0003617753 
20.78,0.0053390134,0.0029300579 
41.57,0.0088888709,0.0017151320 
83.14,0.0200318292,0.0033813385 
166.28,0.0392411660,0.0067092996 
249.42,40.8105158680,18.1880110389 
332.56,52.2091746774,2.7393008106 
415.70,53.9851046937,0.0598315564 
831.40,52.4937301393,2.6758981054 
1662.80,53.9858123768,0.0353832777 
2494.20,53.9945994941,0.0124039134 
3325.60,53.9985803414,0.0077716359 
4157.00,54.0450010468,0.1773737383 
