pressure,8.26ang,8.26Er
.41,0.0000775620,0.0000691387 
2.07,0.0005246884,0.0002388710 
4.15,0.0009977835,0.0003226469 
20.78,0.0049908524,0.0007399917 
41.57,0.0100733853,0.0012434510 
83.14,0.0213157488,0.0093878237 
166.28,0.0433572550,0.0091764542 
249.42,54.0000415440,0.0000048628 
332.56,53.4879573278,0.8949058789 
415.70,51.2143995349,2.2075279007 
831.40,53.9106420962,0.1123397535 
1662.80,53.5927462093,0.8176073561 
2494.20,53.9968856240,0.0115036770 
3325.60,54.1425946916,0.4338464939 
4157.00,53.9908633773,0.0278594162 
