pressure,8.26ang,8.26Er
.41,0.0001291410,0.0001247801 
2.07,0.0005665780,0.0001557902 
4.15,0.0010400652,0.0005202902 
20.78,0.0058117767,0.0009598189 
41.57,0.0108989802,0.0018861129 
83.14,0.0230367530,0.0058548875 
166.28,0.1031520059,0.0918449235 
249.42,49.3397965976,2.5011660534 
332.56,50.2715283595,1.7214603683 
415.70,49.6128800442,2.2082643677 
831.40,51.5760045809,3.3170926169 
1662.80,51.7664553614,3.0153705390 
2494.20,53.4698253374,1.4400769225 
3325.60,54.3285816805,0.8846041590 
4157.00,53.8957206313,0.7751674186 
