pressure,8.26ang,8.26Er
.41,0.0000972695,0.0000536440 
2.07,0.0004347336,0.0002479602 
4.15,0.0010988768,0.0004222175 
20.78,0.0040040534,0.0006174858 
41.57,0.0090177870,0.0013316149 
83.14,0.0194940640,0.0060556282 
166.28,0.0552137471,0.0447890280 
249.42,50.6939554134,0.9958063116 
332.56,53.7465031080,0.9539289288 
415.70,52.2678474676,1.5694450963 
831.40,53.7434896313,0.8460557055 
1662.80,53.9984657165,0.0049084228 
2494.20,53.9954626897,0.0173940284 
3325.60,53.9961754704,0.0144886941 
4157.00,54.0609888897,0.2424390124 
