pressure,8.26ang,8.26Er
.41,0.0000699766,0.0000310024 
2.07,0.0005171777,0.0002421457 
4.15,0.0010114801,0.0001801195 
20.78,0.0044116533,0.0008386854 
41.57,0.0088180775,0.0013535127 
83.14,0.0193289929,0.0066434292 
166.28,0.0466672583,0.0246758422 
249.42,52.6372720747,2.0231761538 
332.56,53.9333367271,0.2668414998 
415.70,53.9945694391,0.0146083283 
831.40,52.7274344867,1.5043987714 
1662.80,53.9858561127,0.0294340173 
2494.20,53.9979862027,0.0095823872 
3325.60,54.1450025592,0.6551526058 
4157.00,53.9997751201,0.0014757055 
