pressure,8.26ang,8.26Er
.41,0.0001545683,0.0001859174 
2.07,0.0006895669,0.0002274455 
4.15,0.0017368073,0.0004810746 
20.78,0.0081647014,0.0014386479 
41.57,0.0163444765,0.0027484585 
83.14,0.0644603317,0.0504879192 
166.28,43.0000257928,0.0000023360 
249.42,40.5060910778,1.0939084302 
332.56,42.5398976159,1.0016311308 
415.70,42.5885751840,0.9842635689 
831.40,43.0671224023,0.2744903038 
1662.80,42.7585929610,1.4962382092 
2494.20,43.0429180891,0.4130836632 
3325.60,43.0764460027,0.3211902453 
4157.00,42.9831415991,0.0616126093 
