pressure,8.26ang,8.26Er
.41,0.0001074006,0.0001244502 
2.07,0.0007398093,0.0002436897 
4.15,0.0017017974,0.0012203819 
20.78,0.0083884061,0.0018180131 
41.57,0.0151224626,0.0033196116 
83.14,0.0689635930,0.1125953782 
166.28,42.5987029738,0.9837071372 
249.42,39.3624008096,1.3263942040 
332.56,42.6770749928,1.1091722105 
415.70,42.5526343659,0.9898380865 
831.40,42.7802789110,0.8470782166 
1662.80,42.9088195574,0.3454949010 
2494.20,42.9768933999,0.0939165236 
3325.60,42.8845948348,0.3746869199 
4157.00,42.9366433819,0.1584291777 
