pressure,8.26ang,8.26Er
.41,0.0001934822,0.0001762915 
2.07,0.0011234324,0.0006312908 
4.15,0.0026672013,0.0015251316 
20.78,0.0099306241,0.0020147547 
41.57,0.0248290716,0.0126888876 
83.14,0.0593278111,0.0282435598 
166.28,38.7480483909,2.8582989137 
249.42,39.8195037287,1.6030118985 
332.56,40.8082923977,1.9367492591 
415.70,40.6843213543,1.7994100521 
831.40,42.9786859335,0.0822628886 
1662.80,42.6817285112,0.4491662096 
2494.20,42.8113389982,0.4156979077 
3325.60,43.0899800298,0.3751621575 
4157.00,43.8887990940,0.5751822680 
