pressure,8.26ang,8.26Er
.41,0.0001600513,0.0001094606 
2.07,0.0007993061,0.0003593466 
4.15,0.0022286572,0.0019696937 
20.78,0.0081790413,0.0024108328 
41.57,0.0204995201,0.0130143172 
83.14,0.0513483563,0.0406027668 
166.28,39.5812361412,2.8223597193 
249.42,40.1963972707,1.3288523524 
332.56,39.9690570815,0.8281263511 
415.70,42.1935806904,2.2387693656 
831.40,42.9659500248,0.1366879219 
1662.80,42.9474419047,0.2050691181 
2494.20,42.6346551558,0.7006777542 
3325.60,42.9956250005,0.0194721620 
4157.00,43.0005011982,0.0190189542 
