pressure,8.26ang,8.26Er
.41,0.0200010581,0.0048969054 
2.07,1.7568650526,2.8372149257 
4.15,49.0000004789,0.0000013487 
20.78,49.0000024776,0.0000013487 
41.57,48.9324733304,0.2065389714 
83.14,48.9762854014,0.0621718452 
166.28,49.0000196102,0.0000013487 
249.42,48.9933600510,0.0266710126 
332.56,49.0000376580,0.0000013487 
415.70,49.0000489465,0.0000023360 
831.40,49.0000964353,0.0000044731 
1662.80,49.0001898017,0.0000061805 
2494.20,49.0002830626,0.0000055608 
3325.60,49.8051823348,0.5400395939 
4157.00,50.4341395773,0.7882100476 
