pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.041092,0.083644,-1.69995,0.53720 
2.07,0.890389,1.047463,-6.72933,5.35584 
4.15,1.040725,1.373413,-7.33274,5.80715 
20.78,15.112870,44.310378,-85.49446,226.78018 
41.57,15.406977,17.221055,-90.38849,72.41208 
83.14,56385.885351,2468.742289,-319293.55664,7644.74757 
166.28,55220.110319,1613.975634,-322075.71697,5908.45344 
249.42,56875.807844,500.271901,-332007.20733,1134.16015 
332.56,56264.383673,996.364399,-331267.24934,1047.42632 
415.70,60495.298516,1405.225899,-333204.33538,2813.92502 
831.40,57645.961579,1288.889996,-326040.75258,8537.17384 
1662.80,56721.009186,409.656033,-331761.87168,1102.98484 
2494.20,58837.254533,1160.490820,-332326.19988,1558.72796 
3325.60,60585.913115,812.206792,-327472.42081,1873.17725 
4157.00,59783.982585,629.323349,-332835.45193,1732.13644 
