pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1690.165646,5.534625,-0.94942,0.17379 
2.07,-1691.220861,2.058059,-0.92678,0.13434 
4.15,-1692.311860,4.556123,-0.91426,0.18477 
20.78,-1700.680584,3.155022,-0.98292,0.24720 
41.57,-1709.818813,11.857092,-0.99573,0.16394 
83.14,-1726.904200,6.560492,-1.03236,0.19948 
166.28,-1806.277588,99.204802,-1.05274,0.27280 
249.42,-100549.903767,6551.250432,-103.09431,51.23241 
332.56,-107731.467767,2623.446077,-61.36601,35.61350 
415.70,-109404.210911,7267.830740,-69.60034,48.14444 
831.40,-113898.945392,525.100106,-44.00436,10.08690 
1662.80,-113977.607160,156.408357,-30.08820,23.64829 
2494.20,-113917.905075,237.777458,-26.56988,20.05124 
3325.60,-114184.712063,224.764639,-30.04834,14.14903 
4157.00,-114161.795408,952.960481,-42.27876,30.59712 
