pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.010559,0.019719,-0.99544,0.06945 
2.07,0.047393,0.030494,-1.23907,0.14930 
4.15,0.071107,0.174096,-1.42343,0.38429 
20.78,0.863530,1.606139,-5.10386,3.65878 
41.57,1.569664,2.594227,-10.82482,13.21886 
83.14,2.538378,2.330484,-16.99094,8.43507 
166.28,15.311236,29.062337,-90.56989,169.20508 
249.42,45845.320769,4583.010934,-249058.34959,22911.56002 
332.56,54368.203691,4437.131545,-284697.44759,14582.12262 
415.70,57389.558228,13391.367327,-295261.24516,39226.09296 
831.40,65418.343402,1421.764151,-320968.45058,3587.76233 
1662.80,66197.392373,822.234665,-319957.40692,4392.87737 
2494.20,66457.082074,969.743289,-323158.19040,2030.43860 
3325.60,65333.210567,510.862767,-324725.05401,866.68523 
4157.00,66207.721506,2396.042314,-321078.58263,5865.33533 
