pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.006721,0.025837,-0.96593,0.11483 
2.07,0.029763,0.030949,-1.21895,0.18144 
4.15,0.240507,0.279861,-2.08891,1.12667 
20.78,1.415290,2.547817,-6.58919,5.82401 
41.57,1.659099,1.813469,-10.89379,6.25734 
83.14,3.083094,2.637089,-20.09850,11.46098 
166.28,9.858811,11.421086,-56.11379,46.90215 
249.42,66649.791518,533.560052,-326042.98095,843.35971 
332.56,51615.301873,4779.579408,-277864.78418,14894.65437 
415.70,63600.776092,5732.233463,-313838.87358,16196.90053 
831.40,65641.255629,880.051993,-322695.86778,2767.93806 
1662.80,66249.902390,503.672760,-322486.32002,1017.23913 
2494.20,65495.989805,1802.474782,-318762.51852,4665.55130 
3325.60,65922.009924,713.845508,-325592.25879,898.37653 
4157.00,66679.193841,1071.934225,-322515.24438,3922.52445 
