pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1692.372976,5.883147,-0.01053,0.01493 
2.07,-1691.653478,3.748172,-0.01228,0.01047 
4.15,-1692.668696,3.770050,-0.02153,0.01230 
20.78,-1699.172165,6.289715,-0.02014,0.00830 
41.57,-1711.834720,5.906047,-0.01677,0.03411 
83.14,-1731.538789,10.425652,-0.02718,0.01903 
166.28,-1784.451704,33.169537,-0.02957,0.00329 
249.42,-113999.349836,246.629677,-0.93253,2.03502 
332.56,-106268.921337,2242.150966,-0.94930,4.37314 
415.70,-112694.377241,2164.412498,-1.35006,3.66790 
831.40,-114160.565548,248.770032,-0.04314,2.44902 
1662.80,-114002.391688,258.409024,-0.80309,4.08988 
2494.20,-114036.577636,193.198352,0.70548,3.68079 
3325.60,-114117.654612,273.687120,-1.71262,4.55407 
4157.00,-113949.533482,208.241263,-1.53433,1.61977 
