pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.019837,0.050340,-1.05880,0.31354 
2.07,0.060784,0.077954,-1.36492,0.47644 
4.15,0.300834,0.693365,-2.65259,2.32254 
20.78,0.907621,1.689057,-6.19315,6.54964 
41.57,1.589397,0.893701,-11.39200,5.89834 
83.14,3.645017,3.256581,-22.59167,15.56034 
166.28,109.605503,401.304807,-568.03278,2035.79035 
249.42,44403.388028,6260.254371,-239388.93660,22934.16201 
332.56,46252.559447,3243.479218,-257247.27622,15104.46897 
415.70,57395.942748,13246.015735,-296163.60002,38469.29770 
831.40,62121.053281,7118.155920,-308461.49957,27489.40613 
1662.80,65499.107151,2729.114540,-320805.00852,7881.98687 
2494.20,67154.991096,3676.237248,-322594.48157,9079.51235 
3325.60,65271.807496,510.309574,-321733.95244,2280.25008 
4157.00,61811.391283,7376.107302,-307601.36580,23835.44785 
