pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.006525,0.017448,-0.98571,0.10115 
2.07,0.059736,0.080839,-1.27768,0.41065 
4.15,0.095853,0.110931,-1.53579,0.40586 
20.78,0.908697,1.857687,-6.18284,7.41384 
41.57,1.769015,0.902171,-10.69215,4.95585 
83.14,3.855708,3.553230,-23.88780,19.11018 
166.28,8.775582,14.476652,-51.42479,62.38413 
249.42,158.054691,525.719904,-868.87628,2896.46515 
332.56,63840.084477,6558.785185,-318093.88227,19673.56731 
415.70,65403.617893,1711.167035,-323165.56123,4287.74390 
831.40,66014.825536,2356.051346,-316508.80295,9514.19677 
1662.80,66040.399023,628.646702,-322281.14823,2236.01905 
2494.20,66431.118680,2476.867877,-318580.54184,8035.01792 
3325.60,61872.930599,7725.331447,-309126.23149,22170.52723 
4157.00,69229.883119,3853.264876,-327867.20644,5557.37659 
