pressure,8.26ang,8.26Er
.41,0.0003327084,0.0001770734 
2.07,0.0016706449,0.0007448934 
4.15,0.0037278821,0.0003857800 
20.78,0.0158675289,0.0045346632 
41.57,54.0000071578,0.0000040461 
83.14,53.7584601588,0.9216508901 
166.28,53.9979364009,0.0063985671 
249.42,53.9941500653,0.0207015220 
332.56,53.9763022841,0.0682635027 
415.70,53.9979202941,0.0055194964 
831.40,54.0195581555,0.0776348213 
1662.80,53.9994424568,0.0034419894 
2494.20,54.0004462921,0.0000135543 
3325.60,54.6278707322,1.6311059689 
4157.00,55.0591111034,0.1694276727 
