pressure,8.26ang,8.26Er
.41 
2.07,0.0008001094,0.0002958156 
4.15,0.0018830200,0.0006357746 
20.78,0.0085045638,0.0018337173 
41.57,0.0168683810,0.0027955377 
83.14,0.0949259913,0.2182679925 
166.28,39.5828978799,1.0019172399 
249.42,42.9669524554,0.0810388976 
332.56,42.9993225622,0.0018143871 
415.70,40.6315255480,0.6126686852 
831.40,42.6735123414,1.0717272979 
1662.80,42.9382953868,0.2216260900 
2494.20,42.7352362636,0.6111044969 
3325.60,42.9937071543,0.0325244298 
