pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.005735,0.023302,-1.09201,0.08663 
2.07,0.155636,0.396615,-2.03461,1.82307 
4.15,0.503935,0.913982,-3.27207,3.09814 
20.78,1.045613,0.674761,-7.31483,3.00277 
41.57,2.239973,1.642156,-15.03854,8.65994 
83.14,3.557941,3.267309,-22.48662,13.14465 
166.28,13.854905,22.204449,-87.21554,114.67591 
249.42,41192.323815,5186.536884,-264210.40694,6006.99255 
332.56,41704.470964,7113.014950,-265850.17397,13216.93070 
415.70,38866.663336,3225.541731,-260721.97259,7801.79352 
831.40,57550.495321,3350.435166,-308005.66655,9588.56571 
1662.80,61052.741900,4760.832978,-318663.48397,17670.39431 
2494.20,69141.094539,2891.749530,-339952.56535,10570.64380 
3325.60,68050.413412,874.692185,-344087.10192,1424.06718 
4157.00,67661.339172,662.388984,-343606.96706,1537.19850 
