pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.001488,0.008450,-0.94423,0.06047 
2.07,0.025505,0.034798,-1.15552,0.20039 
4.15,0.113049,0.182915,-1.86375,0.81850 
20.78,0.915090,1.011065,-5.85929,3.05581 
41.57,3.756346,7.429746,-17.67472,28.07447 
83.14,3.975290,3.654689,-24.31632,21.67967 
166.28,10.936255,9.200414,-60.92305,49.21562 
249.42,51124.433873,1710.051607,-275473.87580,3605.56764 
332.56,50328.265566,3037.165799,-270516.22251,9617.68531 
415.70,55887.667616,11420.236867,-288343.26461,40211.55416 
831.40,64699.066056,4002.961444,-316910.45705,14948.23686 
1662.80,64613.762502,2638.862178,-315992.00875,7676.47836 
2494.20,64029.329689,4969.974040,-314990.29988,15662.96760 
3325.60,63814.830228,4547.830169,-312511.62459,16534.23932 
4157.00,65209.397064,373.996456,-324909.90735,1421.93371 
