pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1690.993392,3.104932,0.00164,0.00726 
2.07,-1691.783125,3.358149,-0.00107,0.00642 
4.15,-1692.033874,2.166971,0.00165,0.01123 
20.78,-1698.591741,3.862799,-0.00069,0.00789 
41.57,-1712.034955,8.584771,0.00024,0.00642 
83.14,-1726.786326,5.648542,-0.00022,0.00315 
166.28,-1787.609344,37.111427,0.00043,0.01025 
249.42,-1863.066715,136.225543,0.01076,0.02273 
332.56,-113645.265019,1918.735107,-0.12181,1.51153 
415.70,-106348.504498,3227.249460,-0.08899,1.83793 
831.40,-113529.906478,1720.627674,0.12650,2.04503 
1662.80,-112865.593504,1415.210526,0.27749,2.39216 
2494.20,-114016.887176,360.438454,-0.11523,1.13198 
3325.60,-114122.607992,208.017129,-0.12932,1.21733 
4157.00,-114184.574742,928.129139,-0.29417,1.43522 
