pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1691.294017,2.694699,-4.68885,0.46389 
2.07,-1690.846071,4.266560,-4.79221,0.28443 
4.15,-1693.635896,5.686747,-4.52614,0.15620 
20.78,-1701.529829,3.791315,-4.78202,0.40997 
41.57,-1713.123408,7.386011,-5.04467,0.57257 
83.14,-1735.076125,18.268182,-5.10751,0.48396 
166.28,-1781.645566,21.660096,-5.37087,0.59576 
249.42,-114212.113052,192.329968,-112.69633,58.19227 
332.56,-112757.293163,2018.674449,-211.09320,83.70279 
415.70,-107458.547489,4982.465399,-293.28011,157.92212 
831.40,-113662.081407,512.012461,-153.47833,54.06165 
1662.80,-113019.636767,2029.071150,-162.41283,40.89285 
2494.20,-113976.320835,143.805853,-141.18420,58.57965 
3325.60,-114148.909684,690.213211,-230.27021,121.26697 
4157.00,-114062.758998,345.318059,-134.64238,86.76382 
