pressure,8.26ang,8.26Er
.41,0.0000809597,0.0001129240 
2.07,0.0003058569,0.0001787422 
4.15,0.0008038583,0.0005061126 
20.78,0.0034468544,0.0007042565 
41.57,0.0071610068,0.0016149710 
83.14,0.0131782985,0.0018022668 
166.28,0.0382805266,0.0447293006 
249.42,0.0510334746,0.0099611089 
332.56,0.1084507913,0.0857412720 
415.70,0.0961159388,0.0270964044 
831.40,62.8760172159,3.5585493969 
1662.80,65.9607481741,1.8543389666 
2494.20,66.9324371447,3.2736143291 
3325.60,70.0066488154,1.5918622176 
4157.00,71.6654457880,1.1188461916 
