pressure,8.26ang,8.26Er
.41,0.0004412287,0.0002773692 
2.07,0.0021932345,0.0011489339 
4.15,0.0050608636,0.0077822126 
20.78,0.0213960135,0.0120842950 
41.57,0.0884395826,0.1524712515 
83.14,0.1765728695,0.2078154474 
166.28,69.3044591862,0.4506696749 
249.42,69.0192825966,0.0161754577 
332.56,69.0260769204,0.0973200096 
415.70,69.0611941085,0.7067395704 
831.40,69.3194048859,0.5026739640 
1662.80,69.1454719859,0.0954242332 
2494.20,69.1938117476,0.0517056275 
3325.60,69.6765428020,0.5422471208 
4157.00,70.1244006914,1.1587391317 
