pressure,8.26ang,8.26Er
.41,0.0000607947,0.0000685841 
2.07,0.0002523188,0.0001023038 
4.15,0.0006729162,0.0002952147 
20.78,0.0028761123,0.0011709391 
41.57,0.0059241374,0.0012012238 
83.14,0.0127438282,0.0057485788 
166.28,0.0251648038,0.0030414359 
249.42,0.0525229211,0.0297798704 
332.56,0.0744179804,0.0663985336 
415.70,59.7901708344,2.8206712532 
831.40,62.1730646091,2.2013937982 
1662.80,67.5410029608,3.4361776107 
2494.20,67.7723157639,4.7563650708 
3325.60,70.9422241576,2.3282069319 
4157.00,70.3407118207,1.2844088803 
