pressure,8.26ang,8.26Er
.41,0.0000649374,0.0000214385 
2.07,0.0002446894,0.0001419465 
4.15,0.0005536447,0.0002747197 
20.78,0.0031631493,0.0011641309 
41.57,0.0063250115,0.0022165627 
83.14,0.0110676147,0.0026318706 
166.28,0.0258392124,0.0045417426 
249.42,0.0443091848,0.0158719830 
332.56,0.0866494865,0.1236097420 
415.70,0.0748556452,0.0134603437 
831.40,62.8638811322,2.8716455227 
1662.80,67.0217335312,2.0876281639 
2494.20 
3325.60,68.1490889626,2.8868123704 
4157.00,71.2816269115,3.9311449720 
