pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1690.399027,3.865054,-0.00583,0.03069 
2.07,-1690.158779,2.909554,-0.00831,0.02099 
4.15,-1691.647107,3.545056,-0.02004,0.01376 
20.78,-1699.230642,7.284072,-0.00390,0.02800 
41.57,-1708.451247,4.771988,-0.01501,0.02650 
83.14,-1729.518037,14.264518,-0.00913,0.02140 
166.28,-1791.742718,60.315400,-0.01643,0.06065 
249.42,-110991.464841,4771.003704,-0.83943,2.93127 
332.56,-113830.376789,815.621070,-0.34488,4.66893 
415.70,-114217.275964,204.726270,-0.79392,4.59199 
831.40,-110827.107770,3810.325245,-3.23797,6.65943 
1662.80,-113984.697867,363.256337,0.09099,5.46851 
2494.20,-114059.132604,240.190656,-2.49262,3.64978 
3325.60,-114103.661467,1093.538367,0.13437,2.08291 
4157.00,-114116.711029,205.030775,-1.74163,3.25212 
