pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.005446,0.016578,-0.96567,0.07588 
2.07,0.141930,0.145167,-1.64694,0.46464 
4.15,0.216667,0.272757,-2.05098,0.68707 
20.78,0.620472,0.615119,-4.82887,2.12854 
41.57,0.957741,0.645427,-7.85491,3.89544 
83.14,3.647813,3.131146,-21.29774,17.32633 
166.28,10.463024,14.397320,-66.15345,79.16676 
249.42,59092.549454,8342.740521,-303983.77728,26261.88126 
332.56,66423.699503,1130.987009,-321922.14511,4791.97276 
415.70,65551.856416,666.435335,-324976.66590,1709.49362 
831.40,59218.708683,7239.382705,-298033.78686,25819.45532 
1662.80,65942.359304,775.141647,-321262.08516,1610.99077 
2494.20,65509.619156,1209.233691,-323532.56022,2106.93670 
3325.60,67286.370092,2762.721311,-322440.27314,1945.49675 
4157.00,66188.684751,913.411733,-323769.59910,2115.36097 
