pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1320.870444,16.061031,-2917.16731,52.75052 
2.07,-1364.315439,61.347857,-3234.56771,262.76835 
4.15,-1558.415397,278.273732,-3772.86019,943.50738 
20.78,-106635.891726,622.594002,-103884.49081,1066.91092 
41.57,-105183.475994,378.281400,-111485.82896,406.53909 
83.14,-108467.350785,374.347019,-101633.02777,1220.52571 
166.28,-108907.302040,476.002441,-100857.67957,993.66317 
249.42,-105417.752459,523.049576,-108975.43702,892.29346 
332.56,-108762.330725,448.508160,-100480.07915,766.10642 
415.70,-105306.701305,284.134187,-111342.88373,674.50796 
831.40,-108867.897517,598.346380,-97702.15250,1441.85105 
1662.80,-105710.540572,1710.454083,-109568.84340,4778.49438 
2494.20,-108068.767626,1583.573447,-102076.18149,2496.35404 
3325.60,-102961.193742,3975.193391,-115320.17489,7254.58986 
4157.00,-104365.958962,3189.881426,-115117.46783,5999.85556 
