pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1689.465939,5.902308,-2.23677,0.32608 
2.07,-1689.747246,4.807805,-2.30489,0.27143 
4.15,-1692.499133,3.041265,-2.27449,0.32476 
20.78,-1699.515948,3.848831,-2.28145,0.19960 
41.57,-1708.285916,6.550274,-2.23444,0.26035 
83.14,-1732.358626,12.815112,-2.43009,0.34897 
166.28,-1805.179251,96.695235,-2.53486,0.35136 
249.42,-106897.335666,1700.613399,-178.71582,115.89058 
332.56,-113216.903747,2165.880180,-118.07920,56.75560 
415.70,-109988.050470,3835.190692,-102.02336,40.44279 
831.40,-113611.225323,1889.566168,-93.64640,42.70214 
1662.80,-113912.517559,252.488125,-102.47048,28.05565 
2494.20,-114120.051924,159.129721,-80.96514,76.01582 
3325.60,-114139.627164,219.569846,-61.51654,37.98829 
4157.00,-113994.077267,510.849871,-121.68108,113.05263 
