pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.005763,0.023188,-0.97772,0.08098 
2.07,0.126752,0.313936,-1.49672,0.82021 
4.15,0.296171,0.341909,-2.32219,1.28769 
20.78,0.338234,0.331250,-3.48279,0.78344 
41.57,1.498201,1.322713,-8.97561,4.77289 
83.14,3.074137,2.307966,-21.47584,15.63213 
166.28,15.484837,30.150402,-89.88709,156.07858 
249.42,50642.221097,4667.213950,-277902.09200,8884.88979 
332.56,65527.955403,5215.940710,-318048.06479,14348.30002 
415.70,58275.651489,6427.555725,-300217.46861,19716.25317 
831.40,64468.517285,3898.127311,-320624.89916,11445.09758 
1662.80,66008.504843,938.370974,-322100.01047,1891.89391 
2494.20,66150.941414,1588.230420,-322445.54581,4257.79380 
3325.60,65467.284090,979.681278,-323783.23194,2320.47833 
4157.00,65949.979341,2010.734211,-320902.70416,4619.03032 
