pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1695.875861,5.414455,-70.56281,2.92806 
2.07,-1693.922770,2.491790,-70.37622,3.26051 
4.15,-1696.381242,4.371446,-68.89151,2.86615 
20.78,-1706.328430,3.521935,-69.71628,4.08881 
41.57,-1716.778912,5.943514,-71.44808,3.24317 
83.14,-1744.634264,14.982757,-73.98050,6.45592 
166.28,-1904.745168,177.712583,-91.51013,20.04881 
249.42,-99512.116014,6107.533686,-8418.65803,1538.11790 
332.56,-101820.451125,3877.742076,-8437.69120,2801.35386 
415.70,-99286.012980,1856.716894,-9251.23501,4448.51084 
831.40,-104099.123945,8664.480768,-8659.09719,2486.80687 
1662.80,-104287.878754,6439.600477,-10298.65864,2708.40193 
2494.20,-110236.008326,4428.025891,-5777.15573,3912.78932 
3325.60,-109802.572599,1594.020712,-9826.32334,1030.03694 
4157.00,-110021.525420,983.077291,-7315.36617,2341.75863 
